rule_id	rule_code	message_key	call_site	scope	candidate_flags	rule_class
MISSING_MESSAGE	MMMissingMessage	assert.message.missing.message	ASSERTION	message	missingMessage,missingMessageKind	MMMissingMessage.java
MISSING_MESSAGE	MMMissingMessage	assert.message.missing.message	THROW	message	missingMessage,missingMessageKind	MMMissingMessage.java
MISSING_MESSAGE	MMMissingMessage	assert.message.missing.message	ANNOTATION	message	missingMessage,missingMessageKind	MMMissingMessage.java
MISSING_MESSAGE	MMMissingMessage	assert.message.missing.message	LOG	message	missingMessage,missingMessageKind	MMMissingMessage.java
MISSING_MESSAGE	MMMissingMessage	assert.message.missing.message	COMMENT	message	missingMessage,missingMessageKind	MMMissingMessage.java
THROW_NULL	MMThrowNull	assert.message.throw.null	THROW	message	throwNull	MMThrowNull.java
ASSERTJ_OVERRIDE	MMAssertJGenericOverride	assert.message.assertj.override	ASSERTION	message	assertJOverride	MMAssertJGenericOverride.java
ASSERTALL_HEADING	MMLowSignalAssertAllHeading	assert.message.assertall.heading	ASSERTION	message	assertAllHeading	MMLowSignalAssertAllHeading.java
MISSING_LOOP_INDEX	MMMissingLoopIndex	assert.message.missing.loop.index	ASSERTION	message	loopNames,missingLoopIndex	MMMissingLoopIndex.java
RESTATES_DERIVED	MMRestatesDerivedAssertion	assert.message.restates.derived	ASSERTION	message		MMRestatesDerivedAssertion.java
RESTATES_DERIVED	MMRestatesDerivedAssertion	assert.message.restates.derived	PRECONDITION	message		MMRestatesDerivedAssertion.java
RESTATES_DERIVED	MMRestatesDerivedAssertion	assert.message.restates.derived	THROW	message		MMRestatesDerivedAssertion.java
RESTATES_DERIVED	MMRestatesDerivedAssertion	assert.message.restates.derived	ANNOTATION	message		MMRestatesDerivedAssertion.java
CONTEXTLESS	MMContextless	assert.message.contextless	ASSERTION	message		MMContextless.java
CONTEXTLESS	MMContextless	assert.message.contextless	PRECONDITION	message		MMContextless.java
CONTEXTLESS	MMContextless	assert.message.contextless	THROW	message		MMContextless.java
CONTEXTLESS	MMContextless	assert.message.contextless	ANNOTATION	message		MMContextless.java
CONTEXTLESS	MMContextless	assert.message.contextless	LOG	message		MMContextless.java
INDEX_ONLY	MMIndexOnly	assert.message.index.only	ASSERTION	message		MMIndexOnly.java
INDEX_ONLY	MMIndexOnly	assert.message.index.only	PRECONDITION	message		MMIndexOnly.java
INDEX_ONLY	MMIndexOnly	assert.message.index.only	THROW	message		MMIndexOnly.java
INDEX_ONLY	MMIndexOnly	assert.message.index.only	ANNOTATION	message		MMIndexOnly.java
INDEX_ONLY	MMIndexOnly	assert.message.index.only	LOG	message		MMIndexOnly.java
LONG_WORD	MMLongWord	assert.message.long.word	ASSERTION	message		MMLongWord.java
LONG_WORD	MMLongWord	assert.message.long.word	PRECONDITION	message		MMLongWord.java
LONG_WORD	MMLongWord	assert.message.long.word	THROW	message		MMLongWord.java
LONG_WORD	MMLongWord	assert.message.long.word	ANNOTATION	message		MMLongWord.java
LONG_WORD	MMLongWord	assert.message.long.word	LOG	message		MMLongWord.java
LONG_WORD	MMLongWord	assert.message.long.word	JAVADOC_CLASS	message		MMLongWord.java
LONG_WORD	MMLongWord	assert.message.long.word	JAVADOC_MEMBER	message		MMLongWord.java
TOO_LONG	MMTooLong	assert.message.too.long	ASSERTION	message		MMTooLong.java
TOO_LONG	MMTooLong	assert.message.too.long	PRECONDITION	message		MMTooLong.java
TOO_LONG	MMTooLong	assert.message.too.long	THROW	message		MMTooLong.java
TOO_LONG	MMTooLong	assert.message.too.long	ANNOTATION	message		MMTooLong.java
